2026-09-18T08:50:46.592784494Z [2026-09-18 08:50:46 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 512, #cached-token: 0, full token usage: 0.00, swa token usage: 0.01, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 393.12
2026-09-18T08:54:46.811813237Z [2026-09-18 08:54:46 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 1, #queue-req: 4, #pending-token: 12288, cuda graph: False, input throughput (token/s): 127.82
2026-09-18T08:54:48.959421413Z [2026-09-18 08:54:48 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 3, #queue-req: 2, #pending-token: 8192, cuda graph: False, input throughput (token/s): 1907.82
2026-09-18T08:54:50.228162370Z [2026-09-18 08:54:50 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.11, #running-req: 5, #queue-req: 0, #pending-token: 4096, cuda graph: False, input throughput (token/s): 3227.44
2026-09-18T08:54:50.361465381Z [2026-09-18 08:54:50 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 7, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 30603.15
2026-09-18T08:55:38.006186911Z [2026-09-18 08:55:38 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 1, #queue-req: 12, #pending-token: 28672, cuda graph: False, input throughput (token/s): 85.97
2026-09-18T08:55:39.240870360Z [2026-09-18 08:55:39 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 3, #queue-req: 10, #pending-token: 24576, cuda graph: False, input throughput (token/s): 3317.99
2026-09-18T08:55:40.494412574Z [2026-09-18 08:55:40 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.11, #running-req: 5, #queue-req: 8, #pending-token: 20480, cuda graph: False, input throughput (token/s): 3267.12
2026-09-18T08:55:41.748043653Z [2026-09-18 08:55:41 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.12, #running-req: 7, #queue-req: 6, #pending-token: 16384, cuda graph: False, input throughput (token/s): 3265.77
2026-09-18T08:55:42.971915164Z [2026-09-18 08:55:42 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.13, #running-req: 9, #queue-req: 4, #pending-token: 12288, cuda graph: False, input throughput (token/s): 3349.58
2026-09-18T08:55:44.212182894Z [2026-09-18 08:55:44 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.14, #running-req: 11, #queue-req: 2, #pending-token: 8192, cuda graph: False, input throughput (token/s): 3302.19
2026-09-18T08:55:44.918185759Z [2026-09-18 08:55:44 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.11, #running-req: 13, #queue-req: 1, #pending-token: 4096, cuda graph: False, input throughput (token/s): 5805.56
2026-09-18T08:55:45.056101850Z [2026-09-18 08:55:45 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 2048, #cached-token: 0, full token usage: 0.00, swa token usage: 0.15, #running-req: 15, #queue-req: 1, #pending-token: 2048, cuda graph: False, input throughput (token/s): 14744.05
2026-09-18T08:55:45.923907356Z [2026-09-18 08:55:45 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 2048, #cached-token: 0, full token usage: 0.00, swa token usage: 0.16, #running-req: 15, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 2359.77
2026-09-18T08:56:38.363333904Z [2026-09-18 08:56:38 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 4096, cuda graph: False, input throughput (token/s): 78.11
2026-09-18T08:56:38.436518583Z [2026-09-18 08:56:38 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.01, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 55981.61
2026-09-18T08:56:58.055301489Z [2026-09-18 08:56:58 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 1, #pending-token: 12288, cuda graph: False, input throughput (token/s): 208.79
2026-09-18T08:56:59.209666228Z [2026-09-18 08:56:59 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 8192, cuda graph: False, input throughput (token/s): 3548.84
2026-09-18T08:57:01.089744906Z [2026-09-18 08:57:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 2, #queue-req: 0, #pending-token: 4096, cuda graph: False, input throughput (token/s): 2178.42
2026-09-18T08:57:01.192518615Z [2026-09-18 08:57:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.02, #running-req: 2, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 39827.18
2026-09-18T08:57:26.112640561Z [2026-09-18 08:57:26 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 3, #pending-token: 28672, cuda graph: False, input throughput (token/s): 164.36
2026-09-18T08:57:27.259654239Z [2026-09-18 08:57:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 2, #pending-token: 24576, cuda graph: False, input throughput (token/s): 3572.79
2026-09-18T08:57:29.243984189Z [2026-09-18 08:57:29 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 2, #queue-req: 2, #pending-token: 20480, cuda graph: False, input throughput (token/s): 2064.30
2026-09-18T08:57:31.369846983Z [2026-09-18 08:57:31 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 2, #queue-req: 1, #pending-token: 16384, cuda graph: False, input throughput (token/s): 1926.31
2026-09-18T08:57:33.443573711Z [2026-09-18 08:57:33 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 3, #queue-req: 1, #pending-token: 12288, cuda graph: False, input throughput (token/s): 1975.37
2026-09-18T08:57:35.491006249Z [2026-09-18 08:57:35 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 3, #queue-req: 0, #pending-token: 8192, cuda graph: False, input throughput (token/s): 2000.36
2026-09-18T08:57:37.767169484Z [2026-09-18 08:57:37 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 4, #queue-req: 0, #pending-token: 4096, cuda graph: False, input throughput (token/s): 1799.37
2026-09-18T08:57:37.895924465Z [2026-09-18 08:57:37 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.04, #running-req: 4, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 31920.63
2026-09-18T08:58:07.987893130Z [2026-09-18 08:58:07 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 7, #pending-token: 61440, cuda graph: False, input throughput (token/s): 136.12
2026-09-18T08:58:09.555875384Z [2026-09-18 08:58:09 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 6, #pending-token: 57344, cuda graph: False, input throughput (token/s): 2613.38
2026-09-18T08:58:11.594798470Z [2026-09-18 08:58:11 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 2, #queue-req: 6, #pending-token: 53248, cuda graph: False, input throughput (token/s): 2008.19
2026-09-18T08:58:13.665693425Z [2026-09-18 08:58:13 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 2, #queue-req: 5, #pending-token: 49152, cuda graph: False, input throughput (token/s): 1978.46
2026-09-18T08:58:15.910784002Z [2026-09-18 08:58:15 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 3, #queue-req: 5, #pending-token: 45056, cuda graph: False, input throughput (token/s): 1823.77
2026-09-18T08:58:17.791004367Z [2026-09-18 08:58:17 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 3, #queue-req: 4, #pending-token: 40960, cuda graph: False, input throughput (token/s): 2178.36
2026-09-18T08:58:19.590453943Z [2026-09-18 08:58:19 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 4, #queue-req: 4, #pending-token: 36864, cuda graph: False, input throughput (token/s): 2276.72
2026-09-18T08:58:21.227259970Z [2026-09-18 08:58:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 4, #queue-req: 3, #pending-token: 32768, cuda graph: False, input throughput (token/s): 2502.41
2026-09-18T08:58:23.282688012Z [2026-09-18 08:58:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 5, #queue-req: 3, #pending-token: 28672, cuda graph: False, input throughput (token/s): 1992.75
2026-09-18T08:58:25.336192737Z [2026-09-18 08:58:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 5, #queue-req: 2, #pending-token: 24576, cuda graph: False, input throughput (token/s): 1994.92
2026-09-18T08:58:27.559775338Z [2026-09-18 08:58:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.11, #running-req: 6, #queue-req: 2, #pending-token: 20480, cuda graph: False, input throughput (token/s): 1841.83
2026-09-18T08:58:29.452329400Z [2026-09-18 08:58:29 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.11, #running-req: 6, #queue-req: 1, #pending-token: 16384, cuda graph: False, input throughput (token/s): 2164.80
2026-09-18T08:58:31.454846843Z [2026-09-18 08:58:31 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.11, #running-req: 7, #queue-req: 1, #pending-token: 12288, cuda graph: False, input throughput (token/s): 2044.97
2026-09-18T08:58:33.914098004Z [2026-09-18 08:58:33 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.11, #running-req: 7, #queue-req: 0, #pending-token: 8192, cuda graph: False, input throughput (token/s): 1665.33
2026-09-18T08:58:36.395773292Z [2026-09-18 08:58:36 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.12, #running-req: 8, #queue-req: 0, #pending-token: 4096, cuda graph: False, input throughput (token/s): 1650.44
2026-09-18T08:58:36.569742247Z [2026-09-18 08:58:36 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.08, #running-req: 8, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 23628.88
2026-09-18T08:59:23.161705275Z [2026-09-18 08:59:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 2, #queue-req: 15, #pending-token: 126976, cuda graph: False, input throughput (token/s): 87.91
2026-09-18T08:59:24.412495186Z [2026-09-18 08:59:24 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 2, #queue-req: 14, #pending-token: 122880, cuda graph: False, input throughput (token/s): 3274.19
2026-09-18T08:59:26.388095707Z [2026-09-18 08:59:26 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 3, #queue-req: 14, #pending-token: 118784, cuda graph: False, input throughput (token/s): 2073.49
2026-09-18T08:59:28.495497803Z [2026-09-18 08:59:28 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 3, #queue-req: 13, #pending-token: 114688, cuda graph: False, input throughput (token/s): 1943.67
2026-09-18T08:59:30.697433433Z [2026-09-18 08:59:30 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 4, #queue-req: 13, #pending-token: 110592, cuda graph: False, input throughput (token/s): 1859.83
2026-09-18T08:59:32.596139943Z [2026-09-18 08:59:32 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 4, #queue-req: 12, #pending-token: 106496, cuda graph: False, input throughput (token/s): 2157.51
2026-09-18T08:59:35.090069010Z [2026-09-18 08:59:35 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 5, #queue-req: 12, #pending-token: 102400, cuda graph: False, input throughput (token/s): 1642.47
2026-09-18T08:59:37.112188752Z [2026-09-18 08:59:37 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 5, #queue-req: 11, #pending-token: 98304, cuda graph: False, input throughput (token/s): 2025.38
2026-09-18T08:59:39.573406957Z [2026-09-18 08:59:39 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 6, #queue-req: 11, #pending-token: 94208, cuda graph: False, input throughput (token/s): 1664.94
2026-09-18T08:59:41.401509357Z [2026-09-18 08:59:41 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.10, #running-req: 6, #queue-req: 10, #pending-token: 90112, cuda graph: False, input throughput (token/s): 2239.33
2026-09-18T08:59:43.913103249Z [2026-09-18 08:59:43 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.11, #running-req: 7, #queue-req: 10, #pending-token: 86016, cuda graph: False, input throughput (token/s): 1631.14
2026-09-18T08:59:46.280794810Z [2026-09-18 08:59:46 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.11, #running-req: 7, #queue-req: 9, #pending-token: 81920, cuda graph: False, input throughput (token/s): 1729.57
2026-09-18T08:59:48.768866411Z [2026-09-18 08:59:48 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.11, #running-req: 8, #queue-req: 9, #pending-token: 77824, cuda graph: False, input throughput (token/s): 1646.30
2026-09-18T08:59:49.927949872Z [2026-09-18 08:59:49 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.11, #running-req: 8, #queue-req: 8, #pending-token: 73728, cuda graph: False, input throughput (token/s): 3533.82
2026-09-18T08:59:51.908440533Z [2026-09-18 08:59:51 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.12, #running-req: 9, #queue-req: 8, #pending-token: 69632, cuda graph: False, input throughput (token/s): 2067.82
2026-09-18T08:59:54.015243331Z [2026-09-18 08:59:54 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.12, #running-req: 9, #queue-req: 7, #pending-token: 65536, cuda graph: False, input throughput (token/s): 1944.61
2026-09-18T08:59:56.023386244Z [2026-09-18 08:59:56 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.12, #running-req: 10, #queue-req: 7, #pending-token: 61440, cuda graph: False, input throughput (token/s): 2039.43
2026-09-18T08:59:58.103000151Z [2026-09-18 08:59:58 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.12, #running-req: 10, #queue-req: 6, #pending-token: 57344, cuda graph: False, input throughput (token/s): 1970.29
2026-09-18T09:00:00.094029301Z [2026-09-18 09:00:00 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.13, #running-req: 11, #queue-req: 6, #pending-token: 53248, cuda graph: False, input throughput (token/s): 2056.47
2026-09-18T09:00:02.220307744Z [2026-09-18 09:00:02 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.13, #running-req: 11, #queue-req: 5, #pending-token: 49152, cuda graph: False, input throughput (token/s): 1926.34
2026-09-18T09:00:04.513635014Z [2026-09-18 09:00:04 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.13, #running-req: 12, #queue-req: 5, #pending-token: 45056, cuda graph: False, input throughput (token/s): 1786.28
2026-09-18T09:00:06.800057639Z [2026-09-18 09:00:06 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.13, #running-req: 12, #queue-req: 4, #pending-token: 40960, cuda graph: False, input throughput (token/s): 1791.28
2026-09-18T09:00:09.110723681Z [2026-09-18 09:00:09 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.14, #running-req: 13, #queue-req: 4, #pending-token: 36864, cuda graph: False, input throughput (token/s): 1773.19
2026-09-18T09:00:10.345789208Z [2026-09-18 09:00:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.14, #running-req: 13, #queue-req: 3, #pending-token: 32768, cuda graph: False, input throughput (token/s): 3314.57
2026-09-18T09:00:12.840443128Z [2026-09-18 09:00:12 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.14, #running-req: 14, #queue-req: 3, #pending-token: 28672, cuda graph: False, input throughput (token/s): 1641.83
2026-09-18T09:00:14.487680548Z [2026-09-18 09:00:14 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.14, #running-req: 14, #queue-req: 2, #pending-token: 24576, cuda graph: False, input throughput (token/s): 2487.20
2026-09-18T09:00:16.802120498Z [2026-09-18 09:00:16 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.15, #running-req: 15, #queue-req: 2, #pending-token: 20480, cuda graph: False, input throughput (token/s): 1769.93
2026-09-18T09:00:16.938800136Z [2026-09-18 09:00:16 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.14, #running-req: 15, #queue-req: 2, #pending-token: 16384, cuda graph: False, input throughput (token/s): 29993.02
2026-09-18T09:00:20.008009696Z [2026-09-18 09:00:20 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.22, #running-req: 14, #queue-req: 1, #pending-token: 12288, cuda graph: False, input throughput (token/s): 1334.38
2026-09-18T09:00:22.399751464Z [2026-09-18 09:00:22 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.22, #running-req: 14, #queue-req: 0, #pending-token: 8192, cuda graph: False, input throughput (token/s): 1712.31
2026-09-18T09:00:24.863543982Z [2026-09-18 09:00:24 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.23, #running-req: 15, #queue-req: 0, #pending-token: 4096, cuda graph: False, input throughput (token/s): 1662.73
2026-09-18T09:00:25.047405857Z [2026-09-18 09:00:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.16, #running-req: 15, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 22284.05
2026-09-18T09:01:20.178458979Z [2026-09-18 09:01:20 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 28672, cuda graph: False, input throughput (token/s): 74.30
2026-09-18T09:01:21.335461920Z [2026-09-18 09:01:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 24576, cuda graph: False, input throughput (token/s): 3541.28
2026-09-18T09:01:23.048332568Z [2026-09-18 09:01:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 20480, cuda graph: False, input throughput (token/s): 2389.87
2026-09-18T09:01:24.762812310Z [2026-09-18 09:01:24 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 16384, cuda graph: False, input throughput (token/s): 2390.10
2026-09-18T09:01:26.533331384Z [2026-09-18 09:01:26 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 12288, cuda graph: False, input throughput (token/s): 2313.41
2026-09-18T09:01:28.352996001Z [2026-09-18 09:01:28 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 8192, cuda graph: False, input throughput (token/s): 2251.10
2026-09-18T09:01:30.272839415Z [2026-09-18 09:01:30 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 4096, cuda graph: False, input throughput (token/s): 2133.01
2026-09-18T09:01:30.346502264Z [2026-09-18 09:01:30 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.01, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 55354.65
2026-09-18T09:01:49.597979529Z [2026-09-18 09:01:49 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 1, #pending-token: 61440, cuda graph: False, input throughput (token/s): 212.77
